Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-071-A,MATH,071,A,000,1.00,1.50,0,,24,24,32,NH 259,TTH,12:30PM - 1:20PM,8/30/2021,12/15/2021,NH,259,12:30PM,12:30:00,1:20PM,13:20:00,,T,,TH,,Calculus I Supplemental Inst,Mathematics Staff ,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2021,MATH-072-A,MATH,072,A,000,1.00,1.00,0,,24,24,44,NH 276,TTH,2:30PM - 3:20PM,1/10/2022,4/28/2022,NH,276,2:30PM,14:30:00,3:20PM,15:20:00,,T,,TH,,Calculus I Supplemental Inst,Todd Kapitula,Active,LEC
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-100-A,MATH,100,A,100,3.00,3.00,3,,26,32,32,NH 251,MWF,10:30AM - 11:20AM,8/30/2021,12/15/2021,NH,251,10:30AM,10:30:00,11:20AM,11:20:00,M,,W,,F,Math in the Contemporary World,James Turner,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2021,MATH-132-A,MATH,132,A,100,4.00,4.00,0,,30,34,32,NH 251,MTWF,12:30PM - 1:20PM,1/10/2022,4/28/2022,NH,251,12:30PM,12:30:00,1:20PM,13:20:00,M,T,W,,F,"Calc for Mgt, Life, & Soc Sci",Michael Bolt,Active,LEC
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-171-A,MATH,171,A,100,4.00,4.00,2,,30,35,44,NH 276,MTWF,9:00AM - 9:50AM,8/30/2021,12/15/2021,NH,276,9:00AM,09:00:00,9:50AM,09:50:00,M,T,W,,F,Calculus I,Michael Bolt,Active,LEC
Mathematics and Statistics,22/SP,1/10/2022,2021,MATH-171-A,MATH,171,A,100,4.00,4.00,0,,30,35,32,NH 259,MTWF,10:30AM - 11:20AM,1/10/2022,4/28/2022,NH,259,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-171-B,MATH,171,B,100,4.00,4.00,3,,30,35,44,NH 276,MTWF,10:30AM - 11:20AM,8/30/2021,12/15/2021,NH,276,10:30AM,10:30:00,11:20AM,11:20:00,M,T,W,,F,Calculus I,Michael Bolt,Active,LEC
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-171-C,MATH,171,C,100,4.00,4.00,0,,30,35,20,NH 261,MTWF,11:30AM - 12:20PM,8/30/2021,12/15/2021,NH,261,11:30AM,11:30:00,12:20PM,12:20:00,M,T,W,,F,Calculus I,Christopher Moseley,Active,LEC
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-171-D,MATH,171,D,100,4.00,4.00,3,,30,35,45,NH 295,MTWF,1:30PM - 2:20PM,8/30/2021,12/15/2021,NH,295,1:30PM,13:30:00,2:20PM,14:20:00,M,T,W,,F,Calculus I,Mathematics Staff ,Active,LEC
Mathematics and Statistics,21/FA,8/30/2021,2021,MATH-172-A,MATH,172,A,100,4.00,4.00,5,,20,32,44,NH 276,MTWF,8:00AM - 8:50AM,8/30/2021,12/15/2021,NH,276,8:00AM,08:00:00,8:50AM,08:50:00,M,T,W,,F,Calculus II,John Ferdinands,Active,LEC
