Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingDurationMinutes,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod,Comments,LastEditTimestamp
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-222-A","MATH",222,A,200,4,4,26,0,32,32,"48","NH 251","MTTHF","2:30PM - 3:20PM",2/2/22,5/13/22,Full,"NH","251","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","T","","TH","F","Geometry/Meth for Elem Sch","Gary Talsma","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-222-A","MATH",222,A,200,4,4,29,32,32,32,"0","NH 251","TTH","1:30PM - 3:20PM",9/1/21,12/16/21,Full,"NH","251","1:30 PM","13:30:00","110","3:20 PM","15:20:00","","T","","TH","","Geometry/Meth for Elem Sch","Dr. David B. Klanderman","Active","LEC","3/3: move to 1:30 TR to avoid SCES conflict",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-231-A","MATH",231,A,200,4,4,28,0,28,32,"48","NH 259","MWTHF","9:00AM - 9:50AM",2/2/22,5/13/22,Full,"NH","259","9:00 AM","9:00:00","50","9:50 AM","9:50:00","M","","W","TH","F","Diff Equ With Linear Algebra","Thomas L. Scofield","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-231-B","MATH",231,B,200,4,4,10,0,28,32,"48","NH 251","MWTHF","10:30AM - 11:20AM",2/2/22,5/13/22,Full,"NH","251","10:30 AM","10:30:00","50","11:20 AM","11:20:00","M","","W","TH","F","Diff Equ With Linear Algebra","Todd Kapitula","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-231-C","MATH",231,C,200,4,4,26,0,28,32,"48","NH 251","MWTHF","11:30AM - 12:20PM",2/2/22,5/13/22,Full,"NH","251","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","","W","TH","F","Diff Equ With Linear Algebra","Thomas L. Scofield","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-231-A","MATH",231,A,200,4,4,21,21,24,32,"84","NH 276","MTWF","2:30PM - 3:20PM",9/1/21,12/16/21,Full,"NH","276","2:30 PM","14:30:00","50","3:20 PM","15:20:00","M","T","W","","F","Diff Equ With Linear Algebra","Nathan S Sunukjian","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-251-A","MATH",251,A,200,3,3,14,17,24,16,"40","NH 259","MWF","11:30AM - 12:20PM",9/1/21,12/16/21,Full,"NH","259","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","","W","","F","Discrete Mathematics","Thomas L. Scofield","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-251-B","MATH",251,B,200,3,3,22,22,24,16,"40","NH 259","MWF","12:30PM - 1:20PM",9/1/21,12/16/21,Full,"NH","259","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","","W","","F","Discrete Mathematics","Thomas L. Scofield","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-252-A","MATH",252,A,200,3,3,19,0,17,17,"32","NH 259","MWF","11:30AM - 12:20PM",2/2/22,5/13/22,Full,"NH","259","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","","W","","F","Discrete Math for Computer Sci","Randall Pruim","Active","LEC","",""
"Mathematics and Statistics",22/SP,2/2/22,2021,"MATH-252-B","MATH",252,B,200,3,3,17,0,17,17,"32","NH 259","MWF","12:30PM - 1:20PM",2/2/22,5/13/22,Full,"NH","259","12:30 PM","12:30:00","50","1:20 PM","13:20:00","M","","W","","F","Discrete Math for Computer Sci","Randall Pruim","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-255-A","MATH",255,A,200,4,4,30,32,30,30,"0","NH 251","MWF","11:30AM - 12:20PM",9/1/21,12/16/21,Full,"NH","251","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","","W","","F","Introductory Linear Algebra","Nathan S Sunukjian","Active","LEC","check on # of hours",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-270-A","MATH",270,A,200,3,0,14,14,24,32,"0","NH 276","MTWF","11:30AM - 12:20PM",9/1/21,11/23/21,Full,"NH","276","11:30 AM","11:30:00","50","12:20 PM","12:20:00","M","T","W","","F","Intro to Multivariable Calc","James Turner","Active","LEC","",""
"Mathematics and Statistics",21/FA,9/1/21,2021,"MATH-270-C","MATH",270,C,200,3,0,13,13,24,32,"0","NH 259","MTWF","1:30PM - 2:20PM",9/1/21,11/23/21,Full,"NH","259","1:30 PM","13:30:00","50","2:20 PM","14:20:00","M","T","W","","F","Intro to Multivariable Calc","James Turner","Active","LEC","",""
