Department,Term,TermStart,AcademicYear,SectionName,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,Used,Day10Used,LocalMax,GlobalMax,RoomCapacity,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,Building,RoomNumber,MeetingStart,MeetingStartInternal,MeetingEnd,MeetingEndInternal,Monday,Tuesday,Wednesday,Thursday,Friday,ShortTitle,Faculty,SectionStatus,InstructionalMethod
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-222-A,MATH,222,A,200,4.00,4.00,0,,26,32,32,NH 251,MTTHF,3:00PM - 3:50PM,1/9/2023,4/29/2023,NH,251,3:00PM,15:00:00,3:50PM,15:50:00,M,T,,TH,F,Geometry/Meth for Elem Sch,Gary Talsma,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-231-A,MATH,231,A,200,4.00,4.00,0,,24,32,32,NH 259,MTWF,9:30AM - 10:20AM,1/9/2023,4/29/2023,NH,259,9:30AM,09:30:00,10:20AM,10:20:00,M,T,W,,F,Diff Equ With Linear Algebra,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-231-A,MATH,231,A,200,4.00,4.00,0,,24,32,20,NH 261,MTWF,8:30AM - 9:20AM,8/29/2022,12/17/2022,NH,261,8:30AM,08:30:00,9:20AM,09:20:00,M,T,W,,F,Diff Equ With Linear Algebra,Thomas L. Scofield,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-231-B,MATH,231,B,200,4.00,4.00,0,,24,32,32,NH 251,MWTHF,11:00AM - 11:50AM,1/9/2023,4/29/2023,NH,251,11:00AM,11:00:00,11:50AM,11:50:00,M,,W,TH,F,Diff Equ With Linear Algebra,Todd Kapitula,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-251-A,MATH,251,A,200,3.00,3.00,0,,32,32,32,NH 259,MWF,12:00PM - 12:50PM,8/29/2022,12/17/2022,NH,259,12:00PM,12:00:00,12:50PM,12:50:00,M,,W,,F,Discrete Mathematics,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-251-B,MATH,251,B,200,3.00,3.00,0,,32,32,32,NH 259,MWF,1:00PM - 1:50PM,8/29/2022,12/17/2022,NH,259,1:00PM,13:00:00,1:50PM,13:50:00,M,,W,,F,Discrete Mathematics,Nathan S Sunukjian,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-252-A,MATH,252,A,100,3.00,3.00,0,,30,,32,NH 259,MWF,12:00PM - 12:50PM,1/9/2023,4/29/2023,NH,259,12:00PM,12:00:00,12:50PM,12:50:00,M,,W,,F,Discrete Math for Computer Sci,Randall Pruim,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-252-B,MATH,252,B,100,3.00,3.00,0,,30,,32,NH 259,MWF,1:00PM - 1:50PM,1/9/2023,4/29/2023,NH,259,1:00PM,13:00:00,1:50PM,13:50:00,M,,W,,F,Discrete Math for Computer Sci,Randall Pruim,Active,LEC
Mathematics and Statistics,22/FA,8/29/2022,2022,MATH-255-A,MATH,255,A,200,4.00,4.00,0,,30,30,32,NH 259,MTWF,12:00PM - 12:50PM,8/29/2022,12/17/2022,NH,259,12:00PM,12:00:00,12:50PM,12:50:00,M,T,W,,F,Introductory Linear Algebra,Christopher Moseley,Active,LEC
Mathematics and Statistics,23/SP,1/9/2023,2022,MATH-271-A,MATH,271,A,200,4.00,4.00,0,,30,,44,NH 276,MWTHF,9:30AM - 10:20AM,1/9/2023,4/29/2023,NH,276,9:30AM,09:30:00,10:20AM,10:20:00,M,,W,TH,F,Multivariable Calculus,Michael Bolt,Active,LEC
